Nomestado,Valor,Volumen,Precio,Asacrificado,Anio,Cveestado,Nomespecie,Nomproducto,Cveespecie,Cveproducto
Tamaulipas,73858.9,1676.1,44.07,8734.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,48489.313,3069.219,15.8,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,235.817,6.93,34.03,992.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,221.738,13.888,15.97,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,405.6,13.52,30.0,1127.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,252.448,18.032,14.0,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,34760.138,1058.14,32.85,4882.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,19531.14,2004.343,9.74,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,203.261,3.57,56.94,468.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,108.543,6.009,18.06,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,222.582,6.526,34.11,596.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,181.518,12.987,13.98,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,301.38,12.39,24.32,203.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,212.58,20.42,10.41,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,23581.35,813.15,29.0,5421.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,30086.55,1626.3,18.5,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,2025.685,418.2,4.84,0.0,2006.0,28.0,Bovino,Leche,4.0,6.0
Tamaulipas,606.697,21.73,27.92,3102.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,661.525,37.224,17.77,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,479.92,17.14,28.0,2453.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,529.848,29.436,18.0,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,290.01,13.81,21.0,184.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,257.6,18.4,14.0,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,9061.05,312.45,29.0,2083.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,11560.65,624.9,18.5,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,481.385,17.12,28.12,2446.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,530.292,29.352,18.07,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,501.2,17.9,28.0,2559.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,552.744,30.708,18.0,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,193.62,9.22,21.0,123.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,172.2,12.3,14.0,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
Tamaulipas,23463.9,809.1,29.0,5394.0,2006.0,28.0,Bovino,Carne,4.0,1.0
Tamaulipas,29936.7,1618.2,18.5,0.0,2006.0,28.0,Bovino,Ganado en pie,4.0,3.0
Tamaulipas,619.01,21.98,28.16,3141.0,2006.0,28.0,Caprino,Carne,6.0,1.0
Tamaulipas,676.654,37.692,17.95,0.0,2006.0,28.0,Caprino,Ganado en pie,6.0,3.0
Tamaulipas,444.92,15.89,28.0,2270.0,2006.0,28.0,Ovino,Carne,12.0,1.0
Tamaulipas,490.32,27.24,18.0,0.0,2006.0,28.0,Ovino,Ganado en pie,12.0,3.0
Tamaulipas,278.46,13.26,21.0,177.0,2006.0,28.0,Porcino,Carne,14.0,1.0
Tamaulipas,247.8,17.7,14.0,0.0,2006.0,28.0,Porcino,Ganado en pie,14.0,3.0
