Anio,Cveestado,Nomestado,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
1983,1,Aguascalientes,1,Abeja,2,Cera,37.000,0.000,0.19,7.060,0
1983,1,Aguascalientes,1,Abeja,7,Miel,211.000,0.000,0.13,28.200,0
1983,1,Aguascalientes,3,Ave     ,1,Carne,3362.000,0.000,0.17,568.350,0
1983,1,Aguascalientes,3,Ave     ,4,Huevo-plato,1949.000,0.000,0.09,173.290,0
1983,1,Aguascalientes,3,Ave     ,8,Ganado en pie,4285.000,0.000,0.11,462.780,0
1983,1,Aguascalientes,4,Bovino,1,Carne,6211.000,0.000,0.17,1031.030,0
1983,1,Aguascalientes,4,Bovino,3,Ganado en pie,11256.000,0.000,0.09,1013.040,0
1983,1,Aguascalientes,4,Bovino,6,Leche,151832.000,0.000,0.02,3669.780,0
1983,1,Aguascalientes,6,Caprino,1,Carne,262.000,0.000,0.24,63.660,0
1983,1,Aguascalientes,6,Caprino,3,Ganado en pie,572.000,0.000,0.15,83.400,0
1983,1,Aguascalientes,6,Caprino,6,Leche,1737.000,0.000,0.02,37.350,0
1983,1,Aguascalientes,12,Ovino,1,Carne,172.000,0.000,0.20,35.120,0
1983,1,Aguascalientes,12,Ovino,3,Ganado en pie,380.000,0.000,0.12,45.900,0
1983,1,Aguascalientes,12,Ovino,5,Lana,34.000,0.000,0.13,4.550,0
1983,1,Aguascalientes,14,Porcino,1,Carne,2733.000,0.000,0.19,522.000,0
1983,1,Aguascalientes,14,Porcino,3,Ganado en pie,3900.000,0.000,0.07,287.040,0
1983,2,Baja California,1,Abeja,2,Cera,28.000,0.000,0.30,8.300,0
1983,2,Baja California,1,Abeja,7,Miel,163.000,0.000,0.16,25.610,0
1983,2,Baja California,3,Ave     ,1,Carne,2572.000,0.000,0.16,411.520,0
1983,2,Baja California,3,Ave     ,4,Huevo-plato,18862.000,0.000,0.09,1686.640,0
1983,2,Baja California,3,Ave     ,8,Ganado en pie,3500.000,0.000,0.11,386.400,0
1983,2,Baja California,4,Bovino,1,Carne,5669.000,0.000,0.19,1077.110,0
1983,2,Baja California,4,Bovino,3,Ganado en pie,10976.000,0.000,0.10,1108.580,0
1983,2,Baja California,4,Bovino,6,Leche,124961.000,0.000,0.02,2767.890,0
1983,2,Baja California,6,Caprino,1,Carne,319.000,0.000,0.25,80.070,0
1983,2,Baja California,6,Caprino,3,Ganado en pie,792.000,0.000,0.13,102.640,0
1983,2,Baja California,6,Caprino,6,Leche,2164.000,0.000,0.02,45.390,0
1983,2,Baja California,12,Ovino,1,Carne,174.000,0.000,0.21,36.750,0
1983,2,Baja California,12,Ovino,3,Ganado en pie,429.000,0.000,0.12,50.450,0
1983,2,Baja California,12,Ovino,5,Lana,71.000,0.000,0.24,17.040,0
1983,2,Baja California,14,Porcino,1,Carne,6898.000,0.000,0.17,1158.860,0
1983,2,Baja California,14,Porcino,3,Ganado en pie,9100.000,0.000,0.06,582.400,0
1983,3,Baja California Sur,1,Abeja,2,Cera,7.000,0.000,0.25,1.760,0
1983,3,Baja California Sur,1,Abeja,7,Miel,41.000,0.000,0.14,5.780,0
1983,3,Baja California Sur,3,Ave     ,1,Carne,1732.000,0.000,0.15,266.730,0
1983,3,Baja California Sur,3,Ave     ,4,Huevo-plato,2092.000,0.000,0.09,181.730,0
1983,3,Baja California Sur,3,Ave     ,8,Ganado en pie,2029.000,0.000,0.12,235.360,0
1983,3,Baja California Sur,4,Bovino,1,Carne,3660.000,0.000,0.20,746.640,0
1983,3,Baja California Sur,4,Bovino,3,Ganado en pie,7125.000,0.000,0.09,641.250,0
1983,3,Baja California Sur,4,Bovino,6,Leche,11915.000,0.000,0.03,304.790,0
1983,3,Baja California Sur,6,Caprino,1,Carne,513.000,0.000,0.26,132.870,0
1983,3,Baja California Sur,6,Caprino,3,Ganado en pie,1300.000,0.000,0.20,265.200,0
1983,3,Baja California Sur,6,Caprino,6,Leche,5162.000,0.000,0.02,116.550,0
1983,3,Baja California Sur,12,Ovino,1,Carne,1.000,0.000,0.24,0.240,0
1983,3,Baja California Sur,12,Ovino,3,Ganado en pie,2.000,0.000,0.12,0.230,0
1983,3,Baja California Sur,14,Porcino,1,Carne,3323.000,0.000,0.17,574.880,0
1983,3,Baja California Sur,14,Porcino,3,Ganado en pie,4312.000,0.000,0.09,403.600,0
1983,4,Campeche,1,Abeja,2,Cera,885.000,0.000,0.40,353.500,0
