Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,Abeja,7,Miel,53,0,43.3,2295,0
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,1,Carne,76119.339,1.5,22.74,1731122.127,50746226
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,4,Huevo-plato,3726.94,0,13.35,49748.33,0
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,3,Ave     ,8,Ganado en pie,101492.452,2,16.3,1654415.352,0
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,1,Carne,4825.194,219.417,36.54,176314.842,21991
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,3,Ganado en pie,8938.837,406.477,21.29,190281.975,0
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,4,Bovino,6,Leche,81290.314,0,5.48,445707.127,0
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,1,Carne,72.181,18.385,39.56,2855.23,3926
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,6,Caprino,3,Ganado en pie,149.965,38.198,20.1,3014.887,0
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,1,Carne,195.207,22.236,45.26,8834.34,8779
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,12,Ovino,3,Ganado en pie,388.057,44.203,22.27,8642.86,0
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,1,Carne,1103.679,76.195,38.95,42991.886,14485
2011,1,Aguascalientes,1,Aguascalientes,1,Aguascalientes,14,Porcino,3,Ganado en pie,1526,105.35,23.32,35592.573,0
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,1,Abeja,7,Miel,23.2,0,44.35,1029,0
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,1,Carne,21212.97,1.5,22.74,482430.42,14141979
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,4,Huevo-plato,1252.85,0,13.34,16707.149,0
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,3,Ave     ,8,Ganado en pie,28283.958,2,16.31,461284.846,0
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,1,Carne,322.378,215.782,36.64,11813.067,1494
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,3,Ganado en pie,598.964,400.913,21.25,12729.803,0
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,4,Bovino,6,Leche,36924.213,0,5.49,202557.695,0
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,1,Carne,40.253,18.059,39.52,1590.628,2229
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,6,Caprino,3,Ganado en pie,83.782,37.587,20.13,1686.543,0
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,1,Carne,42.828,21.851,45.27,1938.659,1960
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,12,Ovino,3,Ganado en pie,85.601,43.674,22.37,1914.617,0
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,1,Carne,1832.428,75.633,40.41,74054.07,24228
2011,1,Aguascalientes,1,Aguascalientes,2,Asientos,14,Porcino,3,Ganado en pie,2535.442,104.649,23.46,59487.494,0
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,1,Abeja,7,Miel,5.5,0,44.55,245,0
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,1,Carne,2816.855,215.274,36.88,103883.819,13085
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,3,Ganado en pie,5216.689,398.677,21.19,110526.083,0
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,4,Bovino,6,Leche,30196.463,0,5.43,164078.917,0
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,1,Carne,2.701,18.5,39.4,106.416,146
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,6,Caprino,3,Ganado en pie,5.488,37.588,20.1,110.275,0
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,1,Carne,23.583,21.656,45.31,1068.618,1089
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,12,Ovino,3,Ganado en pie,47.271,43.408,22.28,1053.208,0
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,1,Carne,159.221,74.928,39.53,6293.699,2125
2011,1,Aguascalientes,1,Aguascalientes,3,Calvillo,14,Porcino,3,Ganado en pie,224.121,105.469,22.95,5143.622,0
2011,1,Aguascalientes,1,Aguascalientes,4,Cos�o,1,Abeja,7,Miel,9.5,0,44.21,420,0
2011,1,Aguascalientes,1,Aguascalientes,4,Cos�o,3,Ave     ,1,Carne,6519.163,1.5,22.74,148234.025,4346108
2011,1,Aguascalientes,1,Aguascalientes,4,Cos�o,3,Ave     ,4,Huevo-plato,45.328,0,13.35,604.893,0
2011,1,Aguascalientes,1,Aguascalientes,4,Cos�o,3,Ave     ,8,Ganado en pie,8692.216,2,16.32,141815.954,0
2011,1,Aguascalientes,1,Aguascalientes,4,Cos�o,4,Bovino,1,Carne,1712,212.829,36.99,63323.601,8044
2011,1,Aguascalientes,1,Aguascalientes,4,Cos�o,4,Bovino,3,Ganado en pie,3222.745,400.64,21.04,67802.853,0
2011,1,Aguascalientes,1,Aguascalientes,4,Cos�o,4,Bovino,6,Leche,22342.283,0,5.44,121636.011,0
2011,1,Aguascalientes,1,Aguascalientes,4,Cos�o,6,Caprino,1,Carne,3.5,18.421,39.44,138.031,190
2011,1,Aguascalientes,1,Aguascalientes,4,Cos�o,6,Caprino,3,Ganado en pie,7.158,37.671,20.04,143.429,0
2011,1,Aguascalientes,1,Aguascalientes,4,Cos�o,12,Ovino,1,Carne,13.882,22,45.54,632.2,631
2011,1,Aguascalientes,1,Aguascalientes,4,Cos�o,12,Ovino,3,Ganado en pie,27.614,43.762,22.29,615.589,0
