Anio,Cveestado,Cveespecie,Nomespecie,Nomestado,Cveproducto,Nomproducto,Volumen,Valor,Asacrificado,Precio
2009.6871508379888,1.0,4.0,Bovino,Aguascalientes,1,Carne,3028.1738379888275,123010.79383798878,10838.329608938548,43.623519553072626
2007.2,2.0,4.0,Bovino,Baja California,1,Carne,23000.372210526315,771407.8870631575,66774.8947368421,32.214842105263166
2007.2,3.0,4.0,Bovino,Baja California Sur,1,Carne,2130.296778947368,53272.70143157895,7291.726315789474,35.391789473684206
2010.0676328502416,4.0,4.0,Bovino,Campeche,1,Carne,3446.4815024154595,80895.70703381639,11056.048309178745,36.39376811594203
2012.2159227985526,7.0,4.0,Bovino,Chiapas,1,Carne,2201.1807135102554,49447.74312243669,6994.829312424608,37.562255729794934
2011.9846468781986,8.0,4.0,Bovino,Chihuahua,1,Carne,2827.371466734903,81889.17606653023,9465.312180143295,49.03440122824974
2018.5,9.0,4.0,Bovino,Ciudad de México,1,Carne,81.86392857142857,5634.928642857143,365.2857142857143,68.11214285714286
2017.0,9.0,4.0,Bovino,Ciudad de México / D.F.,1,Carne,84.61714285714285,5774.187714285714,380.42857142857144,67.53285714285714
2011.5960502693,5.0,4.0,Bovino,Coahuila,1,Carne,2825.4142836624783,73143.13968940754,10197.791741472172,45.2586355475763
2009.448484848485,6.0,4.0,Bovino,Colima,1,Carne,2259.635381818182,61636.86371515151,6375.2,44.88787878787878
2006.4313725490197,9.0,4.0,Bovino,Distrito Federal,1,Carne,484.2942254901961,5788.347294117646,781.3235294117648,30.753039215686275
2011.6182136602451,10.0,4.0,Bovino,Durango,1,Carne,3951.9523975481616,108054.1798441331,16197.77408056042,45.172697022767075
2011.7473841554558,11.0,4.0,Bovino,Guanajuato,1,Carne,2194.6731001494763,62982.17332884905,6698.45889387145,46.17780269058296
2012.0865800865802,12.0,4.0,Bovino,Guerrero,1,Carne,1231.2614606060604,30525.614422510822,4059.193939393939,43.385835497835494
2012.0807660283097,13.0,4.0,Bovino,Hidalgo,1,Carne,882.3545828476272,24549.303588676106,2598.5303913405496,48.46378018318069
2012.2117916428163,14.0,4.0,Bovino,Jalisco,1,Carne,3789.3613863766454,108865.24414195762,11319.022323983972,48.089662278191184
2012.2016129032259,16.0,4.0,Bovino,Michoacán,1,Carne,1375.643741315136,37597.36793796524,4704.188585607941,42.05949751861042
2011.4661190965091,17.0,4.0,Bovino,Morelos,1,Carne,428.4334722792607,10367.212574948671,1196.4517453798767,42.86677618069815
2012.209463358338,15.0,4.0,Bovino,México,1,Carne,859.0515147143681,23172.067097518753,2414.9186381996537,47.70151759953837
2010.849180327869,18.0,4.0,Bovino,Nayarit,1,Carne,2575.319095081967,62309.87616721311,8465.088524590165,46.04695081967213
2011.771875,19.0,4.0,Bovino,Nuevo León,1,Carne,2134.8969890625003,67329.86908281253,7058.2484375,47.43090625
2015.3055872291905,20.0,4.0,Bovino,Oaxaca,1,Carne,371.00733432155147,10723.521990649928,1232.831242873432,50.00257012542759
2012.3322443645868,21.0,4.0,Bovino,Puebla,1,Carne,418.1637131656325,9320.612425024518,1140.4629206141783,36.96500163345312
2010.6823104693142,22.0,4.0,Bovino,Querétaro,1,Carne,3041.6720613718408,97148.13049819495,9547.16606498195,43.782021660649825
2009.6305732484077,23.0,4.0,Bovino,Quintana Roo,1,Carne,785.4144649681531,24701.403828025483,2841.955414012739,46.83490445859873
2011.9083431257345,24.0,4.0,Bovino,San Luis Potosí,1,Carne,2091.8102808460635,76082.92410928322,6332.292596944771,49.98633372502937
2010.9116719242902,25.0,4.0,Bovino,Sinaloa,1,Carne,7653.863943217664,234071.82823343837,24591.58359621451,42.03561514195584
2012.044090056285,26.0,4.0,Bovino,Sonora,1,Carne,2599.7291697936207,75254.62944559097,8927.725140712946,57.86315196998123
2010.5855513307986,27.0,4.0,Bovino,Tabasco,1,Carne,9299.348186311787,217551.5126920153,25457.733840304183,41.18319391634981
2011.6969696969697,28.0,4.0,Bovino,Tamaulipas,1,Carne,3265.5160701754394,76885.88557416275,9565.939393939394,44.3025677830941
2011.9179190751445,29.0,4.0,Bovino,Tlaxcala,1,Carne,323.95403236994235,10853.819944508674,1311.206936416185,44.529722543352605
2012.3246307110958,30.0,4.0,Bovino,Veracruz,1,Carne,2746.2542810030927,72482.08725317768,8030.846444520783,44.391717622810035
2012.1663353214049,31.0,4.0,Bovino,Yucatán,1,Carne,740.6155931080185,17933.448108681256,2268.861497680583,44.79204108681246
2011.9055023923445,32.0,4.0,Bovino,Zacatecas,1,Carne,1832.4935622009575,50592.48469976074,6200.093301435407,46.0924043062201
